Date,Cases - Total,Deaths - Total,Hospitalizations - Total,Cases - Age 0-17,Cases - Age 18-29,Cases - Age 30-39,Cases - Age 40-49,Cases - Age 50-59,Cases - Age 60-69,Cases - Age 70-79,Cases -  Age 80+,Cases - Age Unknown,Cases - Female,Cases - Male,Cases - Unknown Gender,Cases - Latinx,Cases - Asian Non-Latinx,Cases - Black Non-Latinx,Cases - White Non-Latinx,Cases - Other Race Non-Latinx,Cases - Unknown Race/Ethnicity,Deaths - Age 0-17,Deaths - Age 18-29,Deaths - Age 30-39,Deaths - Age 40-49,Deaths - Age 50-59,Deaths - Age 60-69,Deaths - Age 70-79,Deaths - Age 80+,Deaths - Age Unknown,Deaths - Female,Deaths - Male,Deaths - Unknown Gender,Deaths - Latinx,Deaths - Asian Non-Latinx,Deaths - Black Non-Latinx,Deaths - White Non-Latinx,Deaths - Other Race Non-Latinx,Deaths - Unknown Race/Ethnicity,Hospitalizations - Age 0-17,Hospitalizations - Age 18-29,Hospitalizations - Age 30-39,Hospitalizations - Age 40-49,Hospitalizations - Age 50-59,Hospitalizations - Age 60-69,Hospitalizations - Age 70-79,Hospitalizations - Age 80+,Hospitalizations - Age Unknown,Hospitalizations - Female,Hospitalizations - Male,Hospitalizations - Unknown Gender,Hospitalizations - Latinx,Hospitalizations - Asian Non-Latinx,Hospitalizations - Black Non-Latinx,Hospitalizations - White Non-Latinx,Hospitalizations - Other Race Non-Latinx,Hospitalizations - Unknown Race/Ethnicity
08/25/2020,397,4,32,48,114,74,65,50,26,10,9,1,213,180,4,177,7,60,77,16,60,0,0,0,0,0,0,0,4,0,1,3,0,0,1,2,1,0,0,0,4,4,3,9,6,4,2,0,15,17,0,8,0,12,8,2,2
05/08/2020,924,44,97,52,169,191,196,153,85,44,34,0,441,465,18,436,17,138,77,41,215,0,0,0,1,4,13,12,14,0,21,23,0,15,0,15,14,0,0,0,8,8,9,19,18,13,22,0,48,49,0,38,3,36,12,5,3
11/22/2020,725,9,8,60,185,149,128,81,72,32,18,0,362,363,0,131,21,102,208,36,227,0,0,0,0,1,2,4,2,0,4,5,0,4,0,2,2,0,1,0,1,1,1,2,2,0,1,0,4,4,0,2,0,3,1,1,1
07/09/2020,287,7,29,27,94,58,40,34,22,7,5,0,135,151,1,83,4,87,60,9,44,0,0,0,0,1,2,4,0,0,4,3,0,3,0,2,2,0,0,0,4,3,2,10,5,3,2,0,13,16,0,7,2,15,4,0,1
04/20/2020,990,40,184,24,158,182,211,195,122,56,41,1,478,501,11,403,26,249,116,44,152,0,0,1,1,4,6,10,18,0,15,25,0,11,2,15,11,1,0,1,8,15,31,35,38,26,30,0,76,107,1,65,5,70,30,12,2
07/08/2020,309,4,27,37,100,69,38,32,20,11,2,0,158,150,1,88,8,72,54,12,75,0,0,0,0,0,2,1,1,0,3,1,0,2,0,1,1,0,0,2,6,3,0,2,5,5,4,0,14,13,0,10,1,8,5,1,2
04/01/2020,459,24,183,3,56,69,87,84,90,41,29,0,236,205,18,98,19,221,62,16,43,0,0,1,1,1,7,6,8,0,12,12,0,3,1,19,0,0,1,1,4,13,26,40,43,31,25,0,77,101,5,39,5,101,26,8,4
10/24/2020,866,5,61,109,212,191,141,105,57,37,14,0,455,411,0,319,17,116,190,37,187,0,0,0,0,0,0,2,3,0,2,3,0,0,0,2,3,0,0,2,7,7,6,6,11,16,6,0,31,30,0,18,0,28,9,3,3
,197,0,335,6,45,37,35,32,21,13,4,4,98,91,8,34,7,46,22,7,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,54,49,50,56,48,33,28,0,161,169,5,116,15,118,49,20,17
08/14/2020,343,3,28,54,84,63,59,40,26,10,7,0,177,161,5,134,5,67,78,14,45,0,0,0,0,0,1,1,1,0,1,2,0,1,0,2,0,0,0,1,1,2,3,5,6,6,4,0,15,13,0,6,0,17,5,0,0
